emp_no,dept_no,from_date,to_date
110022,d001,1/01/1985,1/10/1991
110039,d001,1/10/1991,1/01/9999
110085,d002,1/01/1985,17/12/1989
110114,d002,17/12/1989,1/01/9999
110183,d003,1/01/1985,21/03/1992
110228,d003,21/03/1992,1/01/9999
110303,d004,1/01/1985,9/09/1988
110344,d004,9/09/1988,2/08/1992
110386,d004,2/08/1992,30/08/1996
110420,d004,30/08/1996,1/01/9999
110511,d005,1/01/1985,25/04/1992
110567,d005,25/04/1992,1/01/9999
110725,d006,1/01/1985,6/05/1989
110765,d006,6/05/1989,12/09/1991
110800,d006,12/09/1991,28/06/1994
110854,d006,28/06/1994,1/01/9999
111035,d007,1/01/1985,7/03/1991
111133,d007,7/03/1991,1/01/9999
111400,d008,1/01/1985,8/04/1991
111534,d008,8/04/1991,1/01/9999
111692,d009,1/01/1985,17/10/1988
111784,d009,17/10/1988,8/09/1992
111877,d009,8/09/1992,3/01/1996
111939,d009,3/01/1996,1/01/9999
